movie_id,native_name,english_name,year_made
1,భక్తప్రహ్లాద ,Bhaktaprahlada,1931
2,పాదుకా పట్టాభిషేకం ,The coronation of Paducah,1932
3,శకుంతల ,Shakuntala,1932
4,చింతామణి ,Chintamani,1933
5,పృధ్వీపుత్ర ,Prdhviputra,1933
6,రామదాసు ,Ramadas,1933
7,రామదాసు ,Ramadas,1933
8,సావిత్రి,Savitri,1933
9,సావిత్రి,Savitri,1933
10,అహల్య ,Ahalya,1934
11,లవకుశ ,Lavakusha,1934
12,సీతాకళ్యాణం ,Sitakalyanam,1934
13,అనసూయ ,ANASUYA,1935
14,కుచేల ,Kucela,1935
15,కృష్ణ తులాభారం,Dark tulabar,1935
16,రాణి ప్రేమలత ,Love the queen,1935
17,శ్రీకృష్ణ లీలలు ,Sri Krishna Leelas,1935
18,సక్కుబాయి,Sakkubayi,1935
19,హరిశ్చంద్ర ,Harishchandra,1935
20,అనసూయ ,ANASUYA,1936
21,కబీర్ ,Kabir,1936
22,ద్రౌపదీ మానసంరక్షణం,Draupadi Manpower,1936
23,ద్రౌపదీ వస్త్రాపహరణం,Draupadi Dressing,1936
24,ప్రేమవిజయం,Premavijayam,1936
25,మాయా బజార్ ,The Maya Bazaar,1936
26,మోహినీ భస్మాసుర ,Mohini Bhasmasura,1936
27,లంకాదహనం,Lankadahanam,1936
28,వీరాభిమన్యు ,Virabhimanyu,1936
29,సంపూర్ణ రామాయణం ,Absolute Ramayana,1936
30,సతీ తులసి ,Sati Tulsi,1936
31,సులోచన ,Glasses,1936
32,కనకతార ,Kanakatara,1937
33,తుకారాం,Tukaram,1937
34,దశావతారాలు,Dasavataralu,1937
35,నరనారాయణ,Naranarayana,1937
36,బాల యోగిని,The child is a yogini,1937
37,మోహినీ రుక్మాంగద ,Mohini Rukmangada,1937
38,విజయదశమి ,Vijayadashami,1937
39,విప్రనారాయణ ,Was interesting,1937
40,సారంగధర ,Sarangadhara,1937
41,కచ దేవయాని,Kacha Devayani,1938
42,కాసుల పేరు,Name of Coins,1938
43,గులేబకావళి,Gulebakavali,1938
44,గృహలక్ష్మి ,Grihalakshmi,1938
45,చల్‌ మోహనరంగా,Chal morally,1938
46,చిత్రనళీయం,Citranaliyam,1938
47,జరాసంధ,Jarasandha,1938
48,భక్త జయదేవ,Devotee Jayadeva,1938
49,మార్కండేయ,Markandeya,1938
50,మాల పిల్ల,Mala pup,1938
51,మాలపిల్ల,Malapilla,1938
